0	-0.410127
1	-0.170292
2	-0.290807
3	-0.185796
4	-0.227345
5	-0.172726
6	-0.178245
7	-0.150378
8	-0.146287
9	-0.128258
10	-0.114545
11	-0.090984
12	-0.078941
13	-0.059272
14	-0.039421
15	-0.029286
16	-0.018405
17	-0.003902
18	0.016227
19	0.034112
20	0.048015
21	0.067388
22	0.077831
23	0.096594
24	0.115009
25	0.12937
26	0.143365
27	0.157192
28	0.162075
29	0.184748
30	0.202653
31	0.221042
32	0.238503
33	0.245866
34	0.262699
35	0.284012
36	0.298087
37	0.311776
38	0.322961
39	0.347204
40	0.363647
41	0.376174
42	0.394499
43	0.408188
44	0.427135
45	0.4381
46	0.468753
47	0.467336
48	0.488347
49	0.501916
50	0.514763
51	0.54692
52	0.550487
53	0.567614
54	0.590865
55	0.609028
56	0.613211
57	0.630476
58	0.657827
59	0.673314
60	0.673493
