0	-0.810031
1	-0.319488
2	-0.736713
3	-0.39116
4	-0.709495
5	-0.449396
6	-0.692477
7	-0.496874
8	-0.685723
9	-0.539524
10	-0.683723
11	-0.576016
12	-0.680433
13	-0.60086
14	-0.691559
15	-0.632066
16	-0.700095
17	-0.65643
18	-0.713985
19	-0.676106
20	-0.726545
21	-0.700186
22	-0.741399
23	-0.71792
24	-0.741751
25	-0.741012
26	-0.760015
27	-0.752484
28	-0.778297
29	-0.783692
30	-0.798433
31	-0.790902
32	-0.803453
33	-0.817322
34	-0.823651
35	-0.837388
36	-0.843329
37	-0.85337
38	-0.868531
39	-0.86152
40	-0.877903
41	-0.879806
42	-0.900741
43	-0.907964
44	-0.907391
45	-0.921994
46	-0.928453
47	-0.934414
48	-0.957009
49	-0.96104
50	-0.968283
51	-0.96757
52	-0.993777
53	-0.998406
54	-1.00362
55	-1.01164
56	-1.01863
57	-1.02341
58	-1.02914
59	-1.04826
60	-1.04166
