0	-0.80875
1	-0.3142
2	-0.73949
3	-0.38724
4	-0.70277
5	-0.44842
6	-0.69805
7	-0.49354
8	-0.68119
9	-0.52276
10	-0.68513
11	-0.58884
12	-0.68493
13	-0.58538
14	-0.68069
15	-0.62804
16	-0.69813
17	-0.65282
18	-0.71467
19	-0.68606
20	-0.71345
21	-0.70088
22	-0.73251
23	-0.72246
24	-0.71773
25	-0.75122
26	-0.75389
27	-0.77288
28	-0.76979
29	-0.76748
30	-0.77897
31	-0.8017
32	-0.79147
33	-0.81458
34	-0.84953
35	-0.82932
36	-0.85451
37	-0.86632
38	-0.86697
39	-0.86418
40	-0.89487
41	-0.8589
42	-0.91299
43	-0.90308
44	-0.88911
45	-0.92124
46	-0.92165
47	-0.93944
48	-0.93773
49	-0.9764
50	-0.96543
51	-1.00416
52	-0.98103
53	-0.9984
54	-1.00037
55	-1.02528
56	-1.03631
57	-1.0106
58	-1.00075
59	-1.046
60	-1.04537
